2ID	IID	sex
60021	60021	2
60022	60022	1
60023	60023	1
60024	60024	1
60025	60025	1
60026	60026	1
60027	60027	1
60028	60028	1
60029	60029	2
60030	60030	1
60031	60031	2
60032	60032	1
60033	60033	2
60034	60034	1
60035	60035	2
60036	60036	2
60037	60037	2
60038	60038	1
60039	60039	2
60040	60040	2
60041	60041	1
60042	60042	1
60043	60043	1
60044	60044	1
60045	60045	2
60046	60046	1
60047	60047	2
60048	60048	2
60049	60049	1
60050	60050	2
60051	60051	1
60052	60052	1
60053	60053	2
60054	60054	0
60055	60055	1
60056	60056	2
60057	60057	1
60058	60058	2
60059	60059	2
60060	60060	1
60061	60061	1
60062	60062	1
60063	60063	2
60064	60064	1
60065	60065	2
60066	60066	2
60067	60067	1
60068	60068	1
60069	60069	1
60070	60070	0
60071	60071	1
60072	60072	1
60073	60073	2
60074	60074	2
60075	60075	2
60076	60076	1
60077	60077	1
60078	60078	1
60079	60079	2
60080	60080	2
60081	60081	2
60082	60082	1
60083	60083	1
60084	60084	2
60085	60085	1
60086	60086	2
60087	60087	1
60088	60088	1
60089	60089	1
60090	60090	2
60091	60091	2
60092	60092	1
60093	60093	1
60094	60094	1
60095	60095	1
60096	60096	2
60097	60097	2
60098	60098	2
60099	60099	1
60100	60100	1
60101	60101	1
60102	60102	2
60103	60103	1
60104	60104	1
60105	60105	2
60106	60106	2
60107	60107	1
60108	60108	2
60109	60109	1
60110	60110	2
60111	60111	2
60112	60112	1
60113	60113	2
60114	60114	2
60115	60115	1
60116	60116	2
60117	60117	1
60118	60118	1
60119	60119	2
60120	60120	1
60121	60121	1
60122	60122	2
60123	60123	2
60124	60124	1
60125	60125	2
60126	60126	1
60127	60127	2
60128	60128	2
60129	60129	1
60130	60130	2
60131	60131	1
60132	60132	1
60133	60133	0
60134	60134	2
60135	60135	1
60136	60136	1
60137	60137	2
60138	60138	2
60139	60139	1
60140	60140	2
60141	60141	2
60142	60142	1
60143	60143	1
60144	60144	1
60145	60145	1
60146	60146	1
60147	60147	1
60148	60148	2
60149	60149	1
60150	60150	1
60151	60151	1
60152	60152	1
60153	60153	2
60154	60154	1
60155	60155	2
60156	60156	2
60157	60157	1
60158	60158	1
60159	60159	1
60160	60160	1
60161	60161	1
60162	60162	2
60163	60163	1
60164	60164	1
60165	60165	2
60166	60166	1
60167	60167	2
60168	60168	2
60169	60169	2
60170	60170	1
60171	60171	1
60172	60172	1
60173	60173	1
60174	60174	2
60175	60175	1
60176	60176	1
60177	60177	1
60178	60178	1
60179	60179	1
60180	60180	2
60181	60181	2
60182	60182	2
60183	60183	1
60184	60184	1
60185	60185	1
60186	60186	2
60187	60187	2
60188	60188	2
60189	60189	0
60190	60190	1
60191	60191	1
60192	60192	1
60193	60193	1
60194	60194	1
60195	60195	1
60196	60196	1
60197	60197	1
60198	60198	2
60199	60199	1
60200	60200	1
60201	60201	2
60202	60202	1
60203	60203	1
60204	60204	1
60205	60205	2
60206	60206	2
60207	60207	2
60208	60208	1
60209	60209	1
60210	60210	2
60211	60211	2
60212	60212	1
60213	60213	2
60214	60214	2
60215	60215	1
60216	60216	1
60217	60217	1
60218	60218	2
60219	60219	1
60220	60220	1
60221	60221	1
60222	60222	2
60223	60223	1
60224	60224	2
60225	60225	2
60226	60226	1
60227	60227	2
60228	60228	1
60229	60229	1
60230	60230	1
60231	60231	2
60232	60232	1
60233	60233	2
60234	60234	2
60235	60235	1
60236	60236	1
60237	60237	1
60238	60238	2
60239	60239	2
60240	60240	2
60241	60241	1
60242	60242	1
60243	60243	0
60244	60244	2
60245	60245	2
60246	60246	1
60247	60247	2
60248	60248	2
60249	60249	2
60250	60250	1
60251	60251	2
60252	60252	2
60253	60253	2
60254	60254	2
60255	60255	1
60256	60256	1
60257	60257	2
60258	60258	1
60259	60259	1
60260	60260	1
60261	60261	2
60262	60262	2
60263	60263	2
60264	60264	2
60265	60265	1
60266	60266	2
60267	60267	2
60268	60268	2
60269	60269	1
60270	60270	2
60271	60271	2
60272	60272	2
60273	60273	2
60274	60274	1
60275	60275	2
60276	60276	0
60277	60277	2
60278	60278	1
60279	60279	2
60280	60280	1
60281	60281	1
60282	60282	1
60283	60283	1
60284	60284	2
60285	60285	1
60286	60286	1
60287	60287	1
60288	60288	2
60289	60289	2
60290	60290	1
60291	60291	2
60292	60292	2
60293	60293	2
60294	60294	2
60295	60295	2
60296	60296	1
60297	60297	1
60298	60298	1
60299	60299	1
60300	60300	1
60301	60301	2
60302	60302	2
60303	60303	1
60304	60304	2
60305	60305	2
60306	60306	2
60307	60307	2
60308	60308	2
60309	60309	1
60310	60310	2
60311	60311	1
60312	60312	1
60313	60313	2
60314	60314	2
60315	60315	1
60316	60316	1
60317	60317	1
60318	60318	2
60319	60319	2
60320	60320	2
60321	60321	2
60322	60322	1
60323	60323	1
60324	60324	1
60325	60325	1
60326	60326	1
60327	60327	2
60328	60328	1
60329	60329	1
60330	60330	1
60331	60331	0
60332	60332	1
60333	60333	2
60334	60334	2
60335	60335	1
60336	60336	2
60337	60337	1
60338	60338	1
60339	60339	1
60340	60340	1
60341	60341	1
60342	60342	2
60343	60343	1
60344	60344	2
60345	60345	2
60346	60346	1
60347	60347	1
60348	60348	1
60349	60349	2
60350	60350	2
60351	60351	1
60352	60352	2
60353	60353	1
60354	60354	2
60355	60355	1
60356	60356	1
60357	60357	2
60358	60358	1
60359	60359	1
60360	60360	2
60361	60361	2
60362	60362	2
60363	60363	1
60364	60364	1
60365	60365	1
60366	60366	1
60367	60367	1
60368	60368	1
60369	60369	1
60370	60370	1
60371	60371	1
60372	60372	0
60373	60373	2
60374	60374	1
60375	60375	2
60376	60376	2
60377	60377	2
60378	60378	1
60379	60379	1
60380	60380	1
60381	60381	1
60382	60382	2
60383	60383	1
60384	60384	2
60385	60385	1
60386	60386	2
60387	60387	1
60388	60388	1
60389	60389	2
60390	60390	2
60391	60391	1
60392	60392	2
60393	60393	1
60394	60394	1
60395	60395	1
60396	60396	2
60397	60397	1
60398	60398	1
60399	60399	2
60400	60400	1
60401	60401	2
60402	60402	2
60403	60403	2
60404	60404	2
60405	60405	1
60406	60406	2
60407	60407	2
60408	60408	2
60409	60409	2
60410	60410	2
60411	60411	2
60412	60412	2
60413	60413	2
60414	60414	1
60415	60415	1
60416	60416	1
60417	60417	1
60418	60418	1
60419	60419	1
60420	60420	1
60421	60421	1
60422	60422	1
60423	60423	1
60424	60424	1
60425	60425	1
60426	60426	2
60427	60427	1
60428	60428	2
60429	60429	2
60430	60430	2
60431	60431	1
60432	60432	2
60433	60433	2
60434	60434	2
60435	60435	1
60436	60436	1
60437	60437	0
60438	60438	1
60439	60439	1
60440	60440	2
60441	60441	2
60442	60442	1
60443	60443	2
60444	60444	2
60445	60445	2
60446	60446	1
60447	60447	1
60448	60448	1
60449	60449	1
60450	60450	1
60451	60451	2
60452	60452	1
60453	60453	1
60454	60454	1
60455	60455	2
60456	60456	1
60457	60457	1
60458	60458	1
60459	60459	1
60460	60460	1
60461	60461	1
60462	60462	1
60463	60463	2
60464	60464	1
60465	60465	2
60466	60466	1
60467	60467	1
60468	60468	1
60469	60469	1
60470	60470	1
60471	60471	2
60472	60472	1
60473	60473	2
60474	60474	1
60475	60475	1
60476	60476	1
60477	60477	1
60478	60478	2
60479	60479	2
60480	60480	1
60481	60481	0
60482	60482	1
60483	60483	2
60484	60484	1
60485	60485	2
60486	60486	1
60487	60487	1
60488	60488	1
60489	60489	1
60490	60490	2
60491	60491	2
60492	60492	2
60493	60493	2
60494	60494	1
60495	60495	2
60496	60496	2
60497	60497	2
60498	60498	2
60499	60499	1
60500	60500	1
60501	60501	1
60502	60502	2
60503	60503	1
60504	60504	2
60505	60505	2
60506	60506	1
60507	60507	1
60508	60508	1
60509	60509	2
60510	60510	1
60511	60511	2
60512	60512	1
60513	60513	1
60514	60514	2
60515	60515	2
60516	60516	1
60517	60517	1
60518	60518	1
60519	60519	1
60520	60520	2
60521	60521	1
60522	60522	0
60523	60523	1
60524	60524	2
60525	60525	1
60526	60526	1
60527	60527	1
60528	60528	1
60529	60529	2
60530	60530	1
60531	60531	2
60532	60532	1
60533	60533	1
60534	60534	1
60535	60535	1
60536	60536	2
60537	60537	1
60538	60538	1
60539	60539	2
60540	60540	1
60541	60541	1
60542	60542	1
60543	60543	2
60544	60544	1
60545	60545	1
60546	60546	1
60547	60547	1
60548	60548	1
60549	60549	1
60550	60550	1
60551	60551	1
60552	60552	2
60553	60553	2
60554	60554	1
60555	60555	1
60556	60556	2
60557	60557	1
60558	60558	1
60559	60559	1
60560	60560	1
60561	60561	1
60562	60562	1
60563	60563	2
60564	60564	1
60565	60565	2
60566	60566	1
60567	60567	2
60568	60568	2
60569	60569	0
60570	60570	1
60571	60571	2
60572	60572	1
60573	60573	1
60574	60574	1
60575	60575	1
60576	60576	2
60577	60577	1
60578	60578	1
60579	60579	1
60580	60580	2
60581	60581	2
60582	60582	1
60583	60583	2
60584	60584	2
60585	60585	1
60586	60586	1
60587	60587	1
60588	60588	1
60589	60589	1
60590	60590	2
60591	60591	1
60592	60592	2
60593	60593	2
60594	60594	1
60595	60595	2
60596	60596	2
60597	60597	2
60598	60598	2
60599	60599	1
60600	60600	2
60601	60601	1
60602	60602	1
60603	60603	2
60604	60604	1
60605	60605	2
60606	60606	1
60607	60607	2
60608	60608	2
60609	60609	1
60610	60610	1
60611	60611	1
60612	60612	1
60613	60613	2
60614	60614	2
60615	60615	1
60616	60616	1
60617	60617	1
60618	60618	2
60619	60619	2
60620	60620	2
60621	60621	0
60622	60622	2
60623	60623	1
60624	60624	1
60625	60625	2
60626	60626	1
60627	60627	1
60628	60628	2
60629	60629	1
60630	60630	1
60631	60631	1
60632	60632	1
60633	60633	1
60634	60634	2
60635	60635	2
60636	60636	2
60637	60637	2
60638	60638	2
60639	60639	1
60640	60640	1
